country,total_capacity_kboed_equiv,latest_capacity_at_risk_kboed_equiv,max_capacity_at_risk_kboed_equiv,product_group,share_latest_at_risk,share_max_at_risk
QATAR,4228.524827586208,0,2517.3937931034484,gas,0,0.5953361741381725
IRAN,1644.5962068965518,550.9862068965517,550.9862068965517,gas,0.33502826078888664,0.33502826078888664
KUWAIT,1468.1144827586209,0,1021.8758620689655,gas,0,0.6960464419292679
EGYPT,1242.8315862068969,0,0,gas,0,0
UNITED ARAB EMIRATES,1100.3280689655173,0,581.128275862069,gas,0,0.52814091747057
ISRAEL,395.5467586206896,0,122.332,gas,0,0.309273170197586
IRAQ,273.7,0,0,gas,0,0
YEMEN,243.17827586206897,0,0,gas,0,0
JORDAN,216.63089655172416,0,216.63089655172416,gas,0,1
CYPRUS,211.94482758620688,0,0,gas,0,0
TÜRKIYE,178.5,0,0,gas,0,0
TURKEY,170.17241379310346,0,0,gas,0,0
BAHRAIN,136.20689655172416,0,136.20689655172416,gas,0,1
LEBANON,83.3,0,0,gas,0,0
OMAN,80.51724137931035,0,80.51724137931035,gas,0,1
PAKISTAN,59.5,0,0,gas,0,0
