incident_day,product_group,country,capacity_at_risk_kboed_equiv
2026-02-13,gas,IRAN,550.9862068965517
2026-02-28,gas,IRAN,550.9862068965517
2026-02-28,gas,JORDAN,216.63089655172416
2026-03-01,gas,IRAN,550.9862068965517
2026-03-01,oil,QATAR,200
2026-03-01,oil,SUDAN,21.7
2026-03-02,gas,BAHRAIN,136.20689655172416
2026-03-02,gas,IRAN,550.9862068965517
2026-03-02,gas,QATAR,187.93103448275863
2026-03-03,gas,BAHRAIN,136.20689655172416
2026-03-03,gas,IRAN,550.9862068965517
2026-03-03,gas,QATAR,187.93103448275863
2026-03-03,gas,UNITED ARAB EMIRATES,581.128275862069
2026-03-03,oil,KUWAIT,240
2026-03-03,oil,QATAR,200
2026-03-03,oil,SAUDI ARABIA,120
2026-03-04,gas,QATAR,187.93103448275863
2026-03-04,gas,UNITED ARAB EMIRATES,442.68000000000006
2026-03-04,oil,QATAR,200
2026-03-04,oil,SUDAN,21.7
2026-03-05,gas,IRAN,550.9862068965517
2026-03-05,gas,KUWAIT,1021.8758620689655
2026-03-05,oil,SUDAN,21.7
2026-03-06,gas,IRAN,550.9862068965517
2026-03-07,gas,IRAN,550.9862068965517
2026-03-07,gas,QATAR,1116.3537931034482
2026-03-07,oil,QATAR,200
2026-03-08,gas,BAHRAIN,136.20689655172416
2026-03-08,gas,QATAR,187.93103448275863
2026-03-09,gas,IRAN,550.9862068965517
2026-03-10,gas,UNITED ARAB EMIRATES,442.68000000000006
2026-03-10,oil,SUDAN,21.7
2026-03-11,gas,IRAN,550.9862068965517
2026-03-11,oil,KUWAIT,240
2026-03-11,oil,QATAR,200
2026-03-12,gas,BAHRAIN,136.20689655172416
2026-03-12,gas,KUWAIT,1021.8758620689655
2026-03-12,gas,QATAR,1116.3537931034482
2026-03-12,oil,IRAN,400
2026-03-13,gas,IRAN,11.9
2026-03-14,gas,IRAN,11.9
2026-03-14,gas,ISRAEL,122.332
2026-03-14,gas,UNITED ARAB EMIRATES,442.68000000000006
2026-03-14,oil,SUDAN,21.7
2026-03-16,gas,UNITED ARAB EMIRATES,442.68000000000006
2026-03-17,gas,IRAN,550.9862068965517
2026-03-17,gas,UNITED ARAB EMIRATES,442.68000000000006
2026-03-18,gas,IRAN,550.9862068965517
2026-03-18,gas,QATAR,2517.3937931034484
2026-03-19,gas,IRAN,550.9862068965517
2026-03-19,gas,KUWAIT,228.48
2026-03-19,gas,OMAN,80.51724137931035
2026-03-19,gas,QATAR,187.93103448275863
2026-03-19,oil,IRAN,360
2026-03-19,oil,QATAR,200
2026-03-20,gas,IRAN,550.9862068965517
2026-03-20,gas,KUWAIT,217.75862068965517
2026-03-21,gas,IRAN,550.9862068965517
2026-03-22,gas,IRAN,550.9862068965517
