site_id,site_name,country,asset_class,product_group,capacity_value,capacity_unit,capacity_kboed_equiv,capacity_source,match_quality
site_4651,FARAH,"AFGHANISTAN, IRAN, PAKISTAN",other_energy_site,,,,,unmatched,unmatched
site_55,BAHRAIN HIDD FLNG TERMINAL,BAHRAIN,lng_facility,gas,790,mmcfd,136.20689655172416,energy_sites_direct,energy_sites_direct
site_5102,N/A,BAHRAIN,other_energy_site,,,,,unmatched,ambiguous
site_5107,N/A,BAHRAIN,other_energy_site,,,,,unmatched,ambiguous
site_5109,N/A,BAHRAIN,other_energy_site,,,,,unmatched,ambiguous
site_5110,N/A,BAHRAIN,other_energy_site,,,,,unmatched,ambiguous
site_5113,N/A,BAHRAIN,other_energy_site,,,,,unmatched,ambiguous
site_5114,N/A,BAHRAIN,other_energy_site,,,,,unmatched,ambiguous
site_5115,N/A,BAHRAIN,other_energy_site,,,,,unmatched,ambiguous
site_5118,N/A,BAHRAIN,other_energy_site,,,,,unmatched,ambiguous
site_5119,N/A,BAHRAIN,other_energy_site,,,,,unmatched,ambiguous
site_5120,N/A,BAHRAIN,other_energy_site,,,,,unmatched,ambiguous
site_5121,N/A,BAHRAIN,other_energy_site,,,,,unmatched,ambiguous
site_5122,N/A,BAHRAIN,other_energy_site,,,,,unmatched,ambiguous
site_5123,N/A,BAHRAIN,other_energy_site,,,,,unmatched,ambiguous
site_5125,N/A,BAHRAIN,other_energy_site,,,,,unmatched,ambiguous
site_5128,N/A,BAHRAIN,other_energy_site,,,,,unmatched,ambiguous
site_6032,WIDYAN - NORTH ARABIAN GULF,"BAHRAIN, IRAN, IRAQ, KUWAIT, QATAR, SAUDI ARABIA",other_energy_site,,,,,unmatched,unmatched
site_56,CYPRUS LNG TERMINAL,CYPRUS,lng_facility,gas,263,mmcfd,45.3448275862069,energy_sites_direct,energy_sites_direct
site_81,Cyprus FSRU,CYPRUS,lng_facility,gas,2,mtpa,47.6,energy_sites_direct,energy_sites_direct
site_82,Cyprus LNG Terminal,CYPRUS,lng_facility,gas,5,mtpa,119,energy_sites_direct,energy_sites_direct
site_89,Hoegh Cyprus FSRU,CYPRUS,lng_facility,,,,,unmatched,unmatched
