site_id,site_name,country,asset_class,selected_capacity_source,selected_match_quality,selected_field,manual_match_status,manual_source_note,provider_match_status,provider_source_name
site_5102,N/A,BAHRAIN,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5107,N/A,BAHRAIN,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5109,N/A,BAHRAIN,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5110,N/A,BAHRAIN,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5113,N/A,BAHRAIN,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5114,N/A,BAHRAIN,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5115,N/A,BAHRAIN,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5118,N/A,BAHRAIN,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5119,N/A,BAHRAIN,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5120,N/A,BAHRAIN,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5121,N/A,BAHRAIN,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5122,N/A,BAHRAIN,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5123,N/A,BAHRAIN,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5125,N/A,BAHRAIN,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5128,N/A,BAHRAIN,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5212,N/A,EGYPT,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5213,N/A,EGYPT,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5217,N/A,EGYPT,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5234,N/A,EGYPT,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
site_5235,N/A,EGYPT,other_energy_site,unmatched,ambiguous,,no_match,,ambiguous,
