incident_id,source_system,operation,sequence,wave_number,announced_utc,probable_launch_time,incident_day,target_text,landing_countries,target_country_guess,weapon_payload,ballistic_flag,drone_flag,cruise_flag,cluster_flag,target_energy_flag,target_port_flag,target_industrial_flag,target_military_flag,target_lat,target_lon,source_urls,description
acled_285_20260228,acled_aggregated_csv,ACLED,,,2026-02-28,,2026-02-28,"Capital, Bahrain, ACLED air/drone strike aggregate",Bahrain,Bahrain,Air/drone strike,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26.1927,50.5508,,"ACLED weekly aggregate: 9 events, 0 fatalities, admin1 = Capital , population exposure = 9077"
acled_285_20260307,acled_aggregated_csv,ACLED,,,2026-03-07,,2026-03-07,"Capital, Bahrain, ACLED air/drone strike aggregate",Bahrain,Bahrain,Air/drone strike,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26.1927,50.5508,,"ACLED weekly aggregate: 7 events, 1 fatalities, admin1 = Capital "
acled_286_20260228,acled_aggregated_csv,ACLED,,,2026-02-28,,2026-02-28,"Muharraq, Bahrain, ACLED air/drone strike aggregate",Bahrain,Bahrain,Air/drone strike,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26.2547,50.6428,,"ACLED weekly aggregate: 1 events, 0 fatalities, admin1 = Muharraq "
acled_286_20260307,acled_aggregated_csv,ACLED,,,2026-03-07,,2026-03-07,"Muharraq, Bahrain, ACLED air/drone strike aggregate",Bahrain,Bahrain,Air/drone strike,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,26.2547,50.6428,,"ACLED weekly aggregate: 3 events, 0 fatalities, admin1 = Muharraq "
acled_1329_20260228,acled_aggregated_csv,ACLED,,,2026-02-28,,2026-02-28,"Alborz, Iran, ACLED air/drone strike aggregate",Iran,Iran,Air/drone strike,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35.9457,50.906,,"ACLED weekly aggregate: 23 events, 1 fatalities, admin1 = Alborz "
acled_1329_20260307,acled_aggregated_csv,ACLED,,,2026-03-07,,2026-03-07,"Alborz, Iran, ACLED air/drone strike aggregate",Iran,Iran,Air/drone strike,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35.9457,50.906,,"ACLED weekly aggregate: 33 events, 7 fatalities, admin1 = Alborz "
acled_1330_20260228,acled_aggregated_csv,ACLED,,,2026-02-28,,2026-02-28,"Ardabil, Iran, ACLED air/drone strike aggregate",Iran,Iran,Air/drone strike,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,38.4066,47.9857,,"ACLED weekly aggregate: 1 events, 0 fatalities, admin1 = Ardabil "
acled_1331_20260228,acled_aggregated_csv,ACLED,,,2026-02-28,,2026-02-28,"Bushehr, Iran, ACLED air/drone strike aggregate",Iran,Iran,Air/drone strike,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28.7846,51.5038,,"ACLED weekly aggregate: 15 events, 5 fatalities, admin1 = Bushehr "
acled_1331_20260307,acled_aggregated_csv,ACLED,,,2026-03-07,,2026-03-07,"Bushehr, Iran, ACLED air/drone strike aggregate",Iran,Iran,Air/drone strike,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,28.7846,51.5038,,"ACLED weekly aggregate: 19 events, 0 fatalities, admin1 = Bushehr "
acled_1332_20260228,acled_aggregated_csv,ACLED,,,2026-02-28,,2026-02-28,"Chaharmahal and Bakhtiari, Iran, ACLED air/drone strike aggregate",Iran,Iran,Air/drone strike,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,31.979,50.8101,,"ACLED weekly aggregate: 1 events, 0 fatalities, admin1 = Chaharmahal and Bakhtiari "
