site_id,asset_class,asset_label,asset_rank,map_color,name,status,country,lat,lon,geometry_role,primary_provider,primary_dataset,provider_priority,provider_sources,source_datasets,source_ids,provider_classes,subclasses,record_count
site_1,refinery,Refinery,2,#8c510a,ABADAN,N/A,IRAN,30.34983,48.27798,site,OGIM,ogim,1,OGIM,ogim,291,CRUDE OIL REFINERIES,,1
site_2,refinery,Refinery,2,#8c510a,AL-JUBAIL,N/A,SAUDI ARABIA,27.03793,49.56826,site,OGIM,ogim,1,OGIM,ogim,326,CRUDE OIL REFINERIES,,1
site_3,refinery,Refinery,2,#8c510a,ALEXANDRIA,N/A,EGYPT,31.0225,29.76528,site,OGIM,ogim,1,OGIM,ogim,343,CRUDE OIL REFINERIES,,1
site_4,refinery,Refinery,2,#8c510a,ALEXANDRIA,N/A,EGYPT,31.0983,29.86311,site,OGIM,ogim,1,OGIM,ogim,338,CRUDE OIL REFINERIES,,1
site_5,refinery,Refinery,2,#8c510a,ALEXANDRIA (EL-MEX),N/A,EGYPT,31.04917,29.67108,site,OGIM,ogim,1,OGIM,ogim,337,CRUDE OIL REFINERIES,,1
site_6,refinery,Refinery,2,#8c510a,ARAK,N/A,IRAN,34.00805,49.47678,site,OGIM,ogim,1,OGIM,ogim,292,CRUDE OIL REFINERIES,,1
site_7,refinery,Refinery,2,#8c510a,ASHDOD,N/A,ISRAEL,31.84453,34.68281,site,OGIM,ogim,1,OGIM,ogim,348,CRUDE OIL REFINERIES,,1
site_8,refinery,Refinery,2,#8c510a,ASSAB,N/A,ERITREA,12.98584,42.73356,site,OGIM,ogim,1,OGIM,ogim,346,CRUDE OIL REFINERIES,,1
site_9,refinery,Refinery,2,#8c510a,ASSIUT,N/A,EGYPT,31.00284,29.84428,site,OGIM,ogim,1,OGIM,ogim,339,CRUDE OIL REFINERIES,,1
site_10,refinery,Refinery,2,#8c510a,BAIJI,N/A,IRAQ,34.99816,43.48753,site,OGIM,ogim,1,OGIM,ogim,301,CRUDE OIL REFINERIES,,1
site_11,refinery,Refinery,2,#8c510a,BANDAR ABBAS,N/A,IRAN,27.17152,56.0781,site,OGIM,ogim,1,OGIM,ogim,293,CRUDE OIL REFINERIES,,1
site_12,refinery,Refinery,2,#8c510a,BANIAS,N/A,SYRIA,35.21539,35.96561,site,OGIM,ogim,1,OGIM,ogim,356,CRUDE OIL REFINERIES,,1
site_13,refinery,Refinery,2,#8c510a,BASRA,N/A,IRAQ,30.53828,47.82224,site,OGIM,ogim,1,OGIM,ogim,302,CRUDE OIL REFINERIES,,1
site_14,refinery,Refinery,2,#8c510a,"DAURA, BAGDAD",N/A,IRAQ,33.27492,44.43236,site,OGIM,ogim,1,OGIM,ogim,303,CRUDE OIL REFINERIES,,1
site_15,refinery,Refinery,2,#8c510a,EL-GILY,N/A,SUDAN,16.98083,32.2968,site,OGIM,ogim,1,OGIM,ogim,353,CRUDE OIL REFINERIES,,1
site_16,refinery,Refinery,2,#8c510a,EL-SUEZ,N/A,EGYPT,29.95863,32.52024,site,OGIM,ogim,1,OGIM,ogim,345,CRUDE OIL REFINERIES,,1
site_17,refinery,Refinery,2,#8c510a,EL-SUEZ,N/A,EGYPT,29.95729,32.53276,site,OGIM,ogim,1,OGIM,ogim,342,CRUDE OIL REFINERIES,,1
site_18,refinery,Refinery,2,#8c510a,HAIFA,N/A,ISRAEL,31.62997,34.52224,site,OGIM,ogim,1,OGIM,ogim,347,CRUDE OIL REFINERIES,,1
site_19,refinery,Refinery,2,#8c510a,HOMS,N/A,SYRIA,34.71683,36.63966,site,OGIM,ogim,1,OGIM,ogim,357,CRUDE OIL REFINERIES,,1
site_20,refinery,Refinery,2,#8c510a,ISFAHAN,N/A,IRAN,32.78134,51.50631,site,OGIM,ogim,1,OGIM,ogim,294,CRUDE OIL REFINERIES,,1
site_21,refinery,Refinery,2,#8c510a,JEDDAH,N/A,SAUDI ARABIA,21.44784,39.18671,site,OGIM,ogim,1,OGIM,ogim,325,CRUDE OIL REFINERIES,,1
site_22,refinery,Refinery,2,#8c510a,K3-HADITHA,N/A,IRAQ,34.07004,42.36076,site,OGIM,ogim,1,OGIM,ogim,300,CRUDE OIL REFINERIES,,1
site_23,refinery,Refinery,2,#8c510a,KERMANSHAH,N/A,IRAN,34.35255,47.10413,site,OGIM,ogim,1,OGIM,ogim,296,CRUDE OIL REFINERIES,,1
site_24,refinery,Refinery,2,#8c510a,KHANAQIN,N/A,IRAQ,34.31755,45.39963,site,OGIM,ogim,1,OGIM,ogim,304,CRUDE OIL REFINERIES,,1
