site_id,asset_class,asset_label,name,primary_provider,anomaly_day_count,anomaly_cell_count,anomaly_hotspot_count,first_anomaly_date,latest_anomaly_date,nearest_anomaly_km,max_current_hotspot_count,max_absolute_lift,max_robust_z_preconflict,max_robust_z_seasonal,baseline_mode,attribution_mode,lat,lon
site_1058,extraction_site,Extraction Site,MANSUREH,OGIM,1,1,27,2026-03-10,2026-03-10,1.593945904099504,27,17.5,3.5651654429477175,4.721435316336167,hybrid,shared_cell,31.124176374772613,49.30683538845125
site_1065,extraction_site,Extraction Site,MARGHAM,OGIM,2,1,16,2026-03-11,2026-03-16,0,10,9,6.070416835289357,10,hybrid,shared_cell,24.975053615717716,55.614337650237424
site_1089,extraction_site,Extraction Site,MELEIHA,OGIM,1,1,7,2026-03-22,2026-03-22,0,7,5,3.3724537973829762,4.046944556859572,hybrid,shared_cell,30.770832500086556,27.106920525796916
site_11,refinery,Refinery,BANDAR ABBAS,OGIM,1,1,15,2026-03-04,2026-03-04,1.7672793469645176,15,12,8.768379873195737,4.046944556859572,hybrid,shared_cell,27.17152,56.0781
site_1186,extraction_site,Extraction Site,N/A,OGIM,1,1,4,2026-02-28,2026-02-28,0,4,3,3,4,hybrid,shared_cell,23.29333,54.24509
site_1188,extraction_site,Extraction Site,N/A,OGIM,3,1,24,2026-03-06,2026-03-21,1.9898150904016236,11,10,6.7449075947659525,11,hybrid,shared_cell,23.30825,54.15465
site_130,petroleum_terminal,Petroleum Terminal,N/A,OGIM,1,1,4,2026-03-05,2026-03-05,1.279443429539648,4,4,4,4,hybrid,shared_cell,24.13809,52.73042
site_1567,extraction_site,Extraction Site,N/A,OGIM,1,1,4,2026-03-20,2026-03-20,0,4,4,4,4,hybrid,cell_contains_site,24.00177,49.07891
site_1589,extraction_site,Extraction Site,N/A,OGIM,1,1,4,2026-03-15,2026-03-15,1.5130460064992182,4,4,4,4,hybrid,shared_cell,24.0445,49.08067
site_1596,extraction_site,Extraction Site,N/A,OGIM,1,1,4,2026-03-15,2026-03-15,0,4,4,4,4,hybrid,shared_cell,24.05305,49.086
site_1597,extraction_site,Extraction Site,N/A,OGIM,1,1,4,2026-03-15,2026-03-15,1.8103375930708274,4,4,4,4,hybrid,shared_cell,24.04664,49.11347
site_1602,extraction_site,Extraction Site,N/A,OGIM,1,1,4,2026-03-15,2026-03-15,0,4,4,4,4,hybrid,shared_cell,24.0558,49.09853
site_1603,extraction_site,Extraction Site,N/A,OGIM,1,1,4,2026-03-15,2026-03-15,1.512303566623599,4,4,4,4,hybrid,shared_cell,24.05579,49.10886
site_1605,extraction_site,Extraction Site,N/A,OGIM,1,1,4,2026-03-11,2026-03-11,1.3250640483466718,4,3.5,3.5,4,hybrid,shared_cell,24.06134,54.33066
site_1617,extraction_site,Extraction Site,N/A,OGIM,1,1,4,2026-03-11,2026-03-11,1.3357163928784836,4,3.5,3.5,4,hybrid,shared_cell,24.07278,54.30682
site_1618,extraction_site,Extraction Site,N/A,OGIM,1,1,4,2026-03-11,2026-03-11,1.425967846487315,4,3.5,3.5,4,hybrid,shared_cell,24.0677,54.33334
site_1619,extraction_site,Extraction Site,N/A,OGIM,1,1,4,2026-03-11,2026-03-11,1.8367044692873147,4,3.5,3.5,4,hybrid,shared_cell,24.06628,54.33763
site_162,petroleum_terminal,Petroleum Terminal,N/A,OGIM,1,1,8,2026-03-14,2026-03-14,0,8,7,4.721435316336167,4.721435316336167,hybrid,shared_cell,25.93025,49.68687
site_163,petroleum_terminal,Petroleum Terminal,N/A,OGIM,1,1,8,2026-03-14,2026-03-14,1.4423625916167317,8,7,4.721435316336167,4.721435316336167,hybrid,shared_cell,25.93615,49.70956
site_164,petroleum_terminal,Petroleum Terminal,N/A,OGIM,2,1,14,2026-02-28,2026-03-01,1.6778967608103166,7,6,4.046944556859572,4.046944556859572,hybrid,near_cell_centroid,25.9531,56.0503
site_165,petroleum_terminal,Petroleum Terminal,N/A,OGIM,4,2,26,2026-02-28,2026-03-07,0,9,9,9,9,hybrid,shared_cell,25.97221,49.23168
site_171,petroleum_terminal,Petroleum Terminal,N/A,OGIM,2,2,13,2026-03-04,2026-03-05,0,5,5,5,5,hybrid,shared_cell,26.78938,50.01104
site_176,petroleum_terminal,Petroleum Terminal,N/A,OGIM,2,1,11,2026-03-17,2026-03-21,1.8810960293837249,7,6,6,7,hybrid,shared_cell,27.54259,52.56067
site_182,petroleum_terminal,Petroleum Terminal,N/A,OGIM,1,1,7,2026-03-20,2026-03-20,0,7,7,7,7,hybrid,shared_cell,28.88362,47.726
site_189,petroleum_terminal,Petroleum Terminal,N/A,OGIM,1,1,4,2026-03-20,2026-03-20,1.3890483485965104,4,4,4,4,hybrid,shared_cell,28.95518,47.95315
site_193,petroleum_terminal,Petroleum Terminal,N/A,OGIM,1,1,10,2026-03-20,2026-03-20,0,10,10,10,10,hybrid,shared_cell,29.01901,47.58372
site_195,petroleum_terminal,Petroleum Terminal,N/A,OGIM,1,1,5,2026-03-10,2026-03-10,1.152875730259326,5,5,5,5,hybrid,shared_cell,29.01844,48.15252
site_2,refinery,Refinery,AL-JUBAIL,OGIM,1,1,6,2026-03-04,2026-03-04,1.2653491361631424,6,5,3.3724537973829762,6,hybrid,shared_cell,27.03793,49.56826
site_203,petroleum_terminal,Petroleum Terminal,N/A,OGIM,5,1,48,2026-03-12,2026-03-21,1.4389870335408543,17,16,10.791852151625523,17,hybrid,shared_cell,29.21616,50.33175
site_2073,extraction_site,Extraction Site,N/A,OGIM,1,1,4,2026-03-02,2026-03-02,1.806749651780672,4,4,4,4,hybrid,shared_cell,24.77279,49.20016
site_208,petroleum_terminal,Petroleum Terminal,N/A,OGIM,2,1,16,2026-03-20,2026-03-21,1.3364617347441772,12,12,12,12,hybrid,shared_cell,29.81796,47.76091
site_2084,extraction_site,Extraction Site,N/A,OGIM,1,1,4,2026-03-02,2026-03-02,0,4,4,4,4,hybrid,shared_cell,24.78473,49.19385
site_2085,extraction_site,Extraction Site,N/A,OGIM,1,1,4,2026-03-02,2026-03-02,0,4,4,4,4,hybrid,shared_cell,24.78071,49.20193
site_2086,extraction_site,Extraction Site,N/A,OGIM,1,1,4,2026-03-02,2026-03-02,1.480746206115242,4,4,4,4,hybrid,shared_cell,24.78414,49.21321
site_2091,extraction_site,Extraction Site,N/A,OGIM,1,1,4,2026-03-02,2026-03-02,0,4,4,4,4,hybrid,shared_cell,24.78962,49.20819
site_2098,extraction_site,Extraction Site,N/A,OGIM,1,1,4,2026-03-02,2026-03-02,1.709413976150016,4,4,4,4,hybrid,shared_cell,24.80297,49.1971
site_210,petroleum_terminal,Petroleum Terminal,N/A,OGIM,2,1,18,2026-03-20,2026-03-21,1.7804376400306092,14,14,14,14,hybrid,shared_cell,29.86235,47.77153
site_2192,extraction_site,Extraction Site,N/A,OGIM,1,1,8,2026-03-15,2026-03-15,1.7665314365175135,8,7,4.721435316336167,8,hybrid,shared_cell,24.88736,49.18116
site_2204,extraction_site,Extraction Site,N/A,OGIM,1,1,8,2026-03-15,2026-03-15,0,8,7,4.721435316336167,8,hybrid,shared_cell,24.89815,49.20163
site_2215,extraction_site,Extraction Site,N/A,OGIM,1,1,8,2026-03-15,2026-03-15,1.9795391694100493,8,7,4.721435316336167,8,hybrid,shared_cell,24.90804,49.20468
site_2216,extraction_site,Extraction Site,N/A,OGIM,1,1,8,2026-03-15,2026-03-15,1.9503358451111859,8,7,4.721435316336167,8,hybrid,shared_cell,24.90573,49.20987
site_2288,extraction_site,Extraction Site,N/A,OGIM,2,1,16,2026-03-11,2026-03-16,1.7013435665505363,10,9,6.070416835289357,10,hybrid,shared_cell,24.96382,55.61973
site_2299,extraction_site,Extraction Site,N/A,OGIM,2,1,16,2026-03-11,2026-03-16,1.830521075062232,10,9,6.070416835289357,10,hybrid,shared_cell,24.96888,55.60896
site_2300,extraction_site,Extraction Site,N/A,OGIM,2,1,16,2026-03-11,2026-03-16,0,10,9,6.070416835289357,10,hybrid,shared_cell,24.97341,55.61536
site_2301,extraction_site,Extraction Site,N/A,OGIM,2,1,16,2026-03-11,2026-03-16,1.4170624366738531,10,9,6.070416835289357,10,hybrid,shared_cell,24.96577,55.62571
site_2316,extraction_site,Extraction Site,N/A,OGIM,2,1,16,2026-03-11,2026-03-16,1.1667952759870643,10,9,6.070416835289357,10,hybrid,shared_cell,24.9808,55.61289
site_2317,extraction_site,Extraction Site,N/A,OGIM,2,1,16,2026-03-11,2026-03-16,0,10,9,6.070416835289357,10,hybrid,shared_cell,24.97848,55.62038
