acq_date,cell_id,cell_x,cell_y,xmin_m,ymin_m,xmax_m,ymax_m,cell_center_lon,cell_center_lat,current_hotspot_count,baseline_mode,baseline_n_preconflict,baseline_median_preconflict,baseline_mad_preconflict,baseline_n_seasonal,baseline_median_seasonal,baseline_mad_seasonal,baseline_median_combined,absolute_lift,robust_z_preconflict,robust_z_seasonal,anomaly_flag
2026-02-28,cell_2000m_1427_823,1427,823,2854000,1646000,2856000,1648000,29.589699101012574,13.019044658642919,9,hybrid,30,0,0,14,0,0,0,9,9,9,TRUE
2026-02-28,cell_2000m_1454_760,1454,760,2908000,1520000,2910000,1522000,30.149364162818063,12.007967069663078,4,hybrid,30,0,0,14,0,0,0,4,4,4,TRUE
2026-02-28,cell_2000m_1466_815,1466,815,2932000,1630000,2934000,1632000,30.398104190287174,12.890437527251198,4,hybrid,30,0,0,14,0,0,0,4,4,4,TRUE
2026-02-28,cell_2000m_1493_802,1493,802,2986000,1604000,2988000,1606000,30.957769252092664,12.681587863075867,4,hybrid,30,0,0,14,0,0,0,4,4,4,TRUE
2026-02-28,cell_2000m_1650_773,1650,773,3300000,1546000,3302000,1548000,34.212117944813485,12.216288967150243,4,hybrid,30,0,0,14,0,0,0,4,4,4,TRUE
2026-02-28,cell_2000m_1662_797,1662,797,3324000,1594000,3326000,1596000,34.4608579722826,12.60130565458545,5,hybrid,30,0,0,14,0,0,0,5,5,5,TRUE
2026-02-28,cell_2000m_1719_904,1719,904,3438000,1808000,3440000,1810000,35.64237310276086,14.324984395343494,4,hybrid,30,0,0,14,0,0,0,4,4,4,TRUE
2026-02-28,cell_2000m_2279_1922,2279,1922,4558000,3844000,4560000,3846000,47.2502410513192,31.69422372518788,5,hybrid,30,1.5,0.5,14,1.5,0.5,1.5,3.5,3.5,3.5,TRUE
2026-02-28,cell_2000m_2318_1893,2318,1893,4636000,3786000,4638000,3788000,48.0586461405938,31.163349969235732,9,hybrid,30,1,1,14,2,1,2,7,5.395926075812762,4.721435316336167,TRUE
2026-02-28,cell_2000m_2322_1884,2322,1884,4644000,3768000,4646000,3770000,48.141559483083505,30.999190118548963,8,hybrid,30,2,1,14,2,0.5,2,6,4.046944556859572,6,TRUE
2026-02-28,cell_2000m_2327_1857,2327,1857,4654000,3714000,4656000,3716000,48.24520116119563,30.50835906693413,4,hybrid,30,0,0,14,0,0,0,4,4,4,TRUE
2026-02-28,cell_2000m_2329_1870,2329,1870,4658000,3740000,4660000,3742000,48.28665783244049,30.744379058676085,15,hybrid,30,4.5,1.5,14,3,1.5,4.5,10.5,4.721435316336167,5.395926075812762,TRUE
2026-02-28,cell_2000m_2329_1871,2329,1871,4658000,3742000,4660000,3744000,48.28665783244049,30.762557874297382,9,hybrid,30,2,1,14,1,1,2,7,4.721435316336167,5.395926075812762,TRUE
2026-02-28,cell_2000m_2343_1949,2343,1949,4686000,3898000,4688000,3900000,48.57685453115444,32.19117596249741,4,hybrid,30,0,0,14,0,0,0,4,4,4,TRUE
2026-02-28,cell_2000m_2374_1601,2374,1601,4748000,3202000,4750000,3204000,49.21943293544964,25.965330122584398,4,hybrid,30,0,0,14,0,0,0,4,4,4,TRUE
2026-02-28,cell_2000m_2375_1601,2375,1601,4750000,3202000,4752000,3204000,49.24016127107206,25.965330122584398,5,hybrid,30,0,0,14,0,0,0,5,5,5,TRUE
2026-02-28,cell_2000m_2386_1590,2386,1590,4772000,3180000,4774000,3182000,49.46817296291874,25.77416217317419,4,hybrid,30,0,0,14,0,0,0,4,4,4,TRUE
2026-02-28,cell_2000m_2535_1693,2535,1693,5070000,3386000,5072000,3388000,52.55669497066016,27.576459669612493,7,hybrid,30,1,1,14,0,0,1,6,4.046944556859572,7,TRUE
2026-02-28,cell_2000m_2536_1692,2536,1692,5072000,3384000,5074000,3386000,52.57742330628259,27.55882520266557,4,hybrid,30,0,0,14,1,0.5,1,3,4,3,TRUE
2026-02-28,cell_2000m_2542_1495,2542,1495,5084000,2990000,5086000,2992000,52.70179332001714,24.135319046334494,7,hybrid,30,2,1,14,2,1,2,5,3.3724537973829762,3.3724537973829762,TRUE
