acq_date,cell_id,cell_x,cell_y,xmin_m,ymin_m,xmax_m,ymax_m,cell_center_lon,cell_center_lat,current_hotspot_count,baseline_mode,baseline_n_preconflict,baseline_median_preconflict,baseline_mad_preconflict,baseline_n_seasonal,baseline_median_seasonal,baseline_mad_seasonal,baseline_median_combined,absolute_lift,robust_z_preconflict,robust_z_seasonal,anomaly_flag
2026-02-28,cell_2000m_1166_829,1166,829,2332000,1658000,2334000,1660000,24.179603503559488,13.115542677486614,2,hybrid,30,0,0,14,0,0,0,2,2,2,FALSE
2026-02-28,cell_2000m_1208_894,1208,894,2416000,1788000,2418000,1790000,25.050193599701363,14.163370084491612,2,hybrid,30,0,0,14,0,0,0,2,2,2,FALSE
2026-02-28,cell_2000m_1216_812,1216,812,2432000,1624000,2434000,1626000,25.216020284680766,12.842226482624689,2,hybrid,30,0,0,14,0,0,0,2,2,2,FALSE
2026-02-28,cell_2000m_1242_760,1242,760,2484000,1520000,2486000,1522000,25.754957010863833,12.007967069663078,3,hybrid,30,0,0,14,0,0,0,3,3,3,FALSE
2026-02-28,cell_2000m_1250_1857,1250,1857,2500000,3714000,2502000,3716000,25.92078369584324,30.50835906693413,1,hybrid,30,1,1,14,0,0,1,0,0,1,FALSE
2026-02-28,cell_2000m_1258_1858,1258,1858,2516000,3716000,2518000,3718000,26.086610380822645,30.526494462023056,3,hybrid,30,2,1,14,2.5,1.5,2.5,0.5,0.6744907594765952,0.22483025315886507,FALSE
2026-02-28,cell_2000m_1276_1874,1276,1874,2552000,3748000,2554000,3750000,26.459720422026308,30.817114530794633,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1283_1876,1283,1876,2566000,3752000,2568000,3754000,26.604818771383282,30.853502513589774,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1284_1876,1284,1876,2568000,3752000,2570000,3754000,26.625547107005712,30.853502513589774,2,hybrid,30,1,0.5,14,2,1,2,0,1,0,FALSE
2026-02-28,cell_2000m_1291_766,1291,766,2582000,1532000,2584000,1534000,26.770645456362686,12.104095961484472,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1304_780,1304,780,2608000,1560000,2610000,1562000,27.040113819454223,12.328528338962215,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1307_1871,1307,1871,2614000,3742000,2616000,3744000,27.1022988263215,30.762557874297382,3,hybrid,30,2,1,14,1,1,2,1,0.6744907594765952,1.3489815189531904,FALSE
2026-02-28,cell_2000m_1313_1849,1313,1849,2626000,3698000,2628000,3700000,27.226668840056053,30.363394921762243,2,hybrid,30,2,1,14,2,1,2,0,0,0,FALSE
2026-02-28,cell_2000m_1313_1850,1313,1850,2626000,3700000,2628000,3702000,27.226668840056053,30.381503902726934,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1320_825,1320,825,2640000,1650000,2642000,1652000,27.37176718941303,13.051206581988204,2,hybrid,30,0,0,14,0,0,0,2,2,2,FALSE
2026-02-28,cell_2000m_1329_1881,1329,1881,2658000,3762000,2660000,3764000,27.55832221001486,30.944531762413288,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1331_1877,1331,1877,2662000,3754000,2664000,3756000,27.599778881259713,30.87170157968272,2,hybrid,30,0,0,14,0,0,0,2,2,2,FALSE
2026-02-28,cell_2000m_1364_950,1364,950,2728000,1900000,2730000,1902000,28.283813956799758,15.069896270175233,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1374_1859,1374,1859,2748000,3718000,2750000,3720000,28.491097313024017,30.544633175196232,1,hybrid,30,0,0,14,1,1,1,0,1,0,FALSE
2026-02-28,cell_2000m_1377_778,1377,778,2754000,1556000,2756000,1558000,28.55328231989129,12.296455187861353,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1387_866,1387,866,2774000,1732000,2776000,1734000,28.76056567611555,13.711441469909001,2,hybrid,30,0,0,14,0,0,0,2,2,2,FALSE
2026-02-28,cell_2000m_1390_812,1390,812,2780000,1624000,2782000,1626000,28.822750682982825,12.842226482624689,2,hybrid,30,0,0,14,0,0,0,2,2,2,FALSE
2026-02-28,cell_2000m_1394_815,1394,815,2788000,1630000,2790000,1632000,28.90566402547253,12.890437527251198,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1394_816,1394,816,2788000,1632000,2790000,1634000,28.90566402547253,12.906509884513996,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1395_815,1395,815,2790000,1630000,2792000,1632000,28.926392361094955,12.890437527251198,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1395_816,1395,816,2790000,1632000,2792000,1634000,28.926392361094955,12.906509884513996,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1399_814,1399,814,2798000,1628000,2800000,1630000,29.009305703584655,12.87436617546574,3,hybrid,30,0,0,14,0,0,0,3,3,3,FALSE
2026-02-28,cell_2000m_1399_902,1399,902,2798000,1804000,2800000,1806000,29.009305703584655,14.29265249612743,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1400_814,1400,814,2800000,1628000,2802000,1630000,29.03003403920708,12.87436617546574,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1402_795,1402,795,2804000,1590000,2806000,1592000,29.071490710451936,12.569199640601422,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1402_796,1402,796,2804000,1592000,2806000,1594000,29.071490710451936,12.585252158333951,2,hybrid,30,0,0,14,0,0,0,2,2,2,FALSE
2026-02-28,cell_2000m_1415_821,1415,821,2830000,1642000,2832000,1644000,29.340959073543466,12.98688680294277,2,hybrid,30,0,0,14,0,0,0,2,2,2,FALSE
2026-02-28,cell_2000m_1416_2246,1416,2246,2832000,4492000,2834000,4494000,29.361687409165896,37.854135768687954,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1427_823,1427,823,2854000,1646000,2856000,1648000,29.589699101012574,13.019044658642919,9,hybrid,30,0,0,14,0,0,0,9,9,9,TRUE
2026-02-28,cell_2000m_1427_824,1427,824,2854000,1648000,2856000,1650000,29.589699101012574,13.035125111143655,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1428_824,1428,824,2856000,1648000,2858000,1650000,29.610427436635,13.035125111143655,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1438_1891,1438,1891,2876000,3782000,2878000,3784000,29.817710792859256,31.12684596091809,1,hybrid,30,2,1,14,3,1,3,-2,-0.6744907594765952,-1.3489815189531904,FALSE
2026-02-28,cell_2000m_1442_772,1442,772,2884000,1544000,2886000,1546000,29.90062413534896,12.200258567326085,2,hybrid,30,0,0,14,0,0,0,2,2,2,FALSE
2026-02-28,cell_2000m_1447_807,1447,807,2894000,1614000,2896000,1616000,30.00426581346109,12.761894746668665,1,hybrid,30,2,1,14,0,0,2,-1,-0.6744907594765952,1,FALSE
2026-02-28,cell_2000m_1449_768,1449,768,2898000,1536000,2900000,1538000,30.045722484705937,12.13614640260033,2,hybrid,30,0,0,14,0,0,0,2,2,2,FALSE
2026-02-28,cell_2000m_1453_760,1453,760,2906000,1520000,2908000,1522000,30.12863582719564,12.007967069663078,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1454_760,1454,760,2908000,1520000,2910000,1522000,30.149364162818063,12.007967069663078,4,hybrid,30,0,0,14,0,0,0,4,4,4,TRUE
2026-02-28,cell_2000m_1457_834,1457,834,2914000,1668000,2916000,1670000,30.211549169685345,13.195985881850339,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1458_833,1458,833,2916000,1666000,2918000,1668000,30.232277505307767,13.179895181308819,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1463_800,1463,800,2926000,1600000,2928000,1602000,30.335919183419897,12.649472028578128,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1465_815,1465,815,2930000,1630000,2932000,1632000,30.37737585466475,12.890437527251198,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1466_815,1466,815,2932000,1630000,2934000,1632000,30.398104190287174,12.890437527251198,4,hybrid,30,0,0,14,0,0,0,4,4,4,TRUE
2026-02-28,cell_2000m_1466_816,1466,816,2932000,1632000,2934000,1634000,30.398104190287174,12.906509884513996,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1471_1569,1471,1569,2942000,3138000,2944000,3140000,30.501745868399304,25.410037553085605,2,hybrid,30,0,0,14,0,0,0,2,2,2,FALSE
2026-02-28,cell_2000m_1480_798,1480,798,2960000,1596000,2962000,1598000,30.688300889001134,12.61736013076798,2,hybrid,30,0,0,14,0,0,0,2,2,2,FALSE
2026-02-28,cell_2000m_1481_798,1481,798,2962000,1596000,2964000,1598000,30.70902922462356,12.61736013076798,2,hybrid,30,0,0,14,0,0,0,2,2,2,FALSE
2026-02-28,cell_2000m_1481_799,1481,799,2962000,1598000,2964000,1600000,30.70902922462356,12.633415588294353,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1491_1727,1491,1727,2982000,3454000,2984000,3456000,30.916312580847816,28.177702521103335,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1493_802,1493,802,2986000,1604000,2988000,1606000,30.957769252092664,12.681587863075867,4,hybrid,30,0,0,14,0,0,0,4,4,4,TRUE
2026-02-28,cell_2000m_1496_1670,1496,1670,2992000,3340000,2994000,3342000,31.01995425895994,27.17156310474076,2,hybrid,30,2,1,14,2,1,2,0,0,0,FALSE
2026-02-28,cell_2000m_1498_809,1498,809,2996000,1618000,2998000,1620000,31.06141093020479,12.794024448824935,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1501_1672,1501,1672,3002000,3344000,3004000,3346000,31.12359593707207,27.206714127494184,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1502_1842,1502,1842,3004000,3684000,3006000,3686000,31.144324272694494,30.23672384846681,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1503_1842,1503,1842,3006000,3684000,3008000,3686000,31.165052608316923,30.23672384846681,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1504_841,1504,841,3008000,1682000,3010000,1684000,31.18578094393935,13.308649782422055,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1504_847,1504,847,3008000,1694000,3010000,1696000,31.18578094393935,13.405259491389991,2,hybrid,30,0,0,14,0,0,0,2,2,2,FALSE
2026-02-28,cell_2000m_1509_787,1509,787,3018000,1574000,3020000,1576000,31.28942262205147,12.440814556222637,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1510_1819,1510,1819,3020000,3638000,3022000,3640000,31.3101509576739,29.821637241049174,2,hybrid,30,0.5,0.5,14,1,1,1,1,1.5,0.6744907594765952,FALSE
2026-02-28,cell_2000m_1521_1824,1521,1824,3042000,3648000,3044000,3650000,31.538162649520583,29.911728911274853,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1535_796,1535,796,3070000,1592000,3072000,1594000,31.828359348234542,12.585252158333951,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1536_796,1536,796,3072000,1592000,3074000,1594000,31.849087683856965,12.585252158333951,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1546_1610,1546,1610,3092000,3220000,3094000,3222000,32.056371040081224,26.121966491490635,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1547_1611,1547,1611,3094000,3222000,3096000,3224000,32.077099375703654,26.139383194866703,3,hybrid,30,0,0,14,0,0,0,3,3,3,FALSE
2026-02-28,cell_2000m_1547_1818,1547,1818,3094000,3636000,3096000,3638000,32.077099375703654,29.803628459769172,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1548_1818,1548,1818,3096000,3636000,3098000,3638000,32.09782771132607,29.803628459769172,1,hybrid,30,2,1,14,1.5,1.5,2,-1,-0.6744907594765952,-0.22483025315886507,FALSE
2026-02-28,cell_2000m_1550_1818,1550,1818,3100000,3636000,3102000,3638000,32.13928438257093,29.803628459769172,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1553_1607,1553,1607,3106000,3214000,3108000,3216000,32.2014693894382,26.069731608650763,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1554_1815,1554,1815,3108000,3630000,3110000,3632000,32.22219772506063,29.7496211591294,1,hybrid,30,0.5,0.5,14,0,0,0.5,0.5,0.5,1,FALSE
2026-02-28,cell_2000m_1559_1812,1559,1812,3118000,3624000,3120000,3626000,32.32583940317276,29.69564235084593,2,hybrid,30,2,1,14,1.5,1.5,2,0,0,0.22483025315886507,FALSE
2026-02-28,cell_2000m_1563_973,1563,973,3126000,1946000,3128000,1948000,32.40875274566246,15.443299577151254,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1564_762,1564,762,3128000,1524000,3130000,1526000,32.429481081284884,12.04000630612352,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1568_1826,1568,1826,3136000,3652000,3138000,3654000,32.51239442377459,29.94778793401356,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1571_874,1571,874,3142000,1748000,3144000,1750000,32.57457943064186,13.840476177037713,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1584_1546,1584,1546,3168000,3092000,3170000,3094000,32.844047793733395,25.01246366052908,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1586_1518,1586,1518,3172000,3036000,3174000,3038000,32.885504464978254,24.530151400325533,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1587_1508,1587,1508,3174000,3016000,3176000,3018000,32.90623280060068,24.35833726476414,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1588_930,1588,930,3176000,1860000,3178000,1862000,32.9269611362231,14.745716838402942,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1590_832,1590,832,3180000,1664000,3182000,1666000,32.96841780746795,13.163805512041126,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1591_825,1591,825,3182000,1650000,3184000,1652000,32.98914614309037,13.051206581988204,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1597_1776,1597,1776,3194000,3552000,3196000,3554000,33.11351615682492,29.050085602725904,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1600_1771,1600,1771,3200000,3542000,3202000,3544000,33.1757011636922,28.960739512126715,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1609_888,1609,888,3218000,1776000,3220000,1778000,33.36225618429403,14.066455385565847,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1615_792,1615,792,3230000,1584000,3232000,1586000,33.48662619802859,12.521047944408249,3,hybrid,30,0,0,14,0,0,0,3,3,3,FALSE
2026-02-28,cell_2000m_1616_792,1616,792,3232000,1584000,3234000,1586000,33.50735453365102,12.521047944408249,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
2026-02-28,cell_2000m_1621_789,1621,789,3242000,1578000,3244000,1580000,33.610996211763144,12.47290500412315,1,hybrid,30,0,0,14,0,0,0,1,1,1,FALSE
