provider,source_dataset,source_file,source_layer,source_id,asset_class,asset_label,provider_class,subclass,name,status,country,commodity_group,liquid_capacity_bpd,liquid_throughput_bpd,gas_capacity_mmcfd,gas_throughput_mmcfd,lng_capacity_mtpa,lng_capacity_bcmy,oil_production_bpd,capacity_kbd,production_kbd,primary_output_kind,primary_output_value,primary_output_unit,primary_output_basis,geometry_role,provider_priority,lat,lon
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130249,lng_facility,LNG / LPG Facility,export,,Damietta SEGAS LNG Terminal,operating,Egypt,gas,,,,,5,6.8,,,,lng_capacity_mtpa,5,mtpa,capacity,site,2,31.468999999999998,31.747299999999996
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130250,lng_facility,LNG / LPG Facility,export,,Egyptian LNG Terminal,operating,Egypt,gas,,,,,3.6,4.9,,,,lng_capacity_mtpa,3.6,mtpa,capacity,site,2,31.3490481,30.318646599999997
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130300,lng_facility,LNG / LPG Facility,import,,Daewoo Gas LNG Terminal,shelved,Pakistan,gas,,,,,2.5,3.4,,,,lng_capacity_mtpa,2.5,mtpa,capacity,site,2,25.110600000000005,62.339600000000004
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130432,lng_facility,LNG / LPG Facility,import,,Cyprus FSRU,construction,Cyprus,gas,,,,,2,2.72,,,,lng_capacity_mtpa,2,mtpa,capacity,site,2,34.720244,33.323840000000004
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130581,lng_facility,LNG / LPG Facility,import,,Bahrain Hidd FLNG Terminal,operating,Bahrain,gas,,,,,6,8.16,,,,lng_capacity_mtpa,6,mtpa,capacity,site,2,26.2104277,50.70314320000001
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130583,lng_facility,LNG / LPG Facility,export,,Iran NIOC LNG Terminal,construction,Iran,gas,,,,,12.3,16.74,,,,lng_capacity_mtpa,12.3,mtpa,capacity,site,2,27.476111,52.6075
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130584,lng_facility,LNG / LPG Facility,export,,North Pars LNG Terminal,cancelled,Iran,gas,,,,,32,43.54,,,,lng_capacity_mtpa,32,mtpa,capacity,site,2,26.619125000000004,52.067963999999996
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130585,lng_facility,LNG / LPG Facility,export,,Kangan LNG Terminal,cancelled,Iran,gas,,,,,2,2.72,,,,lng_capacity_mtpa,2,mtpa,capacity,site,2,27.476111,52.6075
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130586,lng_facility,LNG / LPG Facility,export,,Persian NIOC LNG Terminal,cancelled,Iran,gas,,,,,16,21.77,,,,lng_capacity_mtpa,16,mtpa,capacity,site,2,27.476111,52.6075
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130587,lng_facility,LNG / LPG Facility,export,,Iran FLNG Terminal,cancelled,Iran,gas,,,,,0.5,0.68,,,,lng_capacity_mtpa,0.5,mtpa,capacity,site,2,29.235481,50.309999999999995
