incident_id,site_id,site_name,asset_class,asset_label,primary_provider,commodity_group,liquid_capacity_bpd,liquid_throughput_bpd,gas_capacity_mmcfd,gas_throughput_mmcfd,lng_capacity_mtpa,lng_capacity_bcmy,oil_production_bpd,capacity_kbd,production_kbd,primary_output_kind,primary_output_value,primary_output_unit,primary_output_basis,distance_km,link_rank
7e5cba2b-1b80-4c4a-bfa3-f98bb2fdf415,site_87,Eilat FLNG Terminal,lng_facility,LNG / LPG Facility,GEM,gas,,,,,5.14,6.99,,,,lng_capacity_mtpa,5.14,mtpa,capacity,1.1119492664453663,1
acled_3472_20260228,site_1430,N/A,extraction_site,Extraction Site,OGIM,mixed,,,,,,,,,,,,,,1.3957370553451105,1
acled_3472_20260228,site_1418,N/A,extraction_site,Extraction Site,OGIM,mixed,,,,,,,,,,,,,,1.432779622081891,2
acled_3472_20260228,site_1423,N/A,extraction_site,Extraction Site,OGIM,mixed,,,,,,,,,,,,,,1.950763521456643,3
acled_3472_20260307,site_1430,N/A,extraction_site,Extraction Site,OGIM,mixed,,,,,,,,,,,,,,1.3957370553451105,1
acled_3472_20260307,site_1418,N/A,extraction_site,Extraction Site,OGIM,mixed,,,,,,,,,,,,,,1.432779622081891,2
acled_3472_20260307,site_1423,N/A,extraction_site,Extraction Site,OGIM,mixed,,,,,,,,,,,,,,1.950763521456643,3
wiki_20260213_beginning_at_09_05_utc_iran_la_153,site_62,IRAN NIOC LNG TERMINAL,lng_facility,LNG / LPG Facility,OGIM,gas,,,711,,12.3,16.74,,,,gas_capacity,711,mmcfd,capacity,0,1
wiki_20260213_beginning_at_09_05_utc_iran_la_153,site_91,Kangan LNG Terminal,lng_facility,LNG / LPG Facility,GEM,gas,,,,,2,2.72,,,,lng_capacity_mtpa,2,mtpa,capacity,1.1119492675886226e-4,2
wiki_20260213_beginning_at_09_05_utc_iran_la_153,site_96,Persian NIOC LNG Terminal,lng_facility,LNG / LPG Facility,GEM,gas,,,,,16,21.77,,,,lng_capacity_mtpa,16,mtpa,capacity,1.1119492675886226e-4,3
wiki_20260228_a_shahed_type_drone_reportedly_20,site_6015,PALMYRIDE FOLDBELT,other_energy_site,Other Energy Site,OGIM,mixed,,,,,,,,,,,,,,0,1
wiki_20260228_jordan_said_that_its_armed_for_157,site_54,AQABA JORDAN FSRU,lng_facility,LNG / LPG Facility,OGIM,gas,,,500,,3.8,5.17,,,,gas_capacity,500,mmcfd,capacity,0,1
wiki_20260228_jordan_said_that_its_armed_for_157,site_104,Sheikh Sabah LNG Terminal,lng_facility,LNG / LPG Facility,GEM,gas,,,,,5.48,7.46,,,,lng_capacity_mtpa,5.48,mtpa,capacity,0.11571551339954579,2
wiki_20260228_on_28_february_2026_following__90,site_62,IRAN NIOC LNG TERMINAL,lng_facility,LNG / LPG Facility,OGIM,gas,,,711,,12.3,16.74,,,,gas_capacity,711,mmcfd,capacity,0,1
wiki_20260228_on_28_february_2026_following__90,site_91,Kangan LNG Terminal,lng_facility,LNG / LPG Facility,GEM,gas,,,,,2,2.72,,,,lng_capacity_mtpa,2,mtpa,capacity,1.1119492675886226e-4,2
wiki_20260228_on_28_february_2026_following__90,site_96,Persian NIOC LNG Terminal,lng_facility,LNG / LPG Facility,GEM,gas,,,,,16,21.77,,,,lng_capacity_mtpa,16,mtpa,capacity,1.1119492675886226e-4,3
wiki_20260228_had_targeted_four_us_base_154,site_481,ASFOUR,extraction_site,Extraction Site,OGIM,mixed,,,,,,,,,,,,,,0,1
wiki_20260228_including_erbil_international__156,site_694,ERBIL,extraction_site,Extraction Site,OGIM,mixed,,,,,,,,,,,,,,0,1
