provider,source_dataset,source_file,source_layer,source_id,asset_class,asset_label,provider_class,subclass,name,status,country,commodity_group,liquid_capacity_bpd,liquid_throughput_bpd,gas_capacity_mmcfd,gas_throughput_mmcfd,lng_capacity_mtpa,lng_capacity_bcmy,oil_production_bpd,capacity_kbd,production_kbd,primary_output_kind,primary_output_value,primary_output_unit,primary_output_basis,geometry_role,provider_priority,lat,lon
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,295,refinery,Refinery,CRUDE OIL REFINERIES,,TEHRAN,N/A,IRAN,oil,225000,,,,,,,225,,liquid_capacity,225000,bpd,capacity,site,1,35.53887,51.42795
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,305,refinery,Refinery,CRUDE OIL REFINERIES,,KIRKUK,N/A,IRAQ,oil,27000,,,,,,,27,,liquid_capacity,27000,bpd,capacity,site,1,35.52841,44.33475
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,331,refinery,Refinery,CRUDE OIL REFINERIES,,PARS,N/A,IRAN,oil,150000,,,,,,,150,,liquid_capacity,150000,bpd,capacity,site,1,35.73816,51.10355
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,330,refinery,Refinery,CRUDE OIL REFINERIES,,PERSIAN GULF STAR,N/A,IRAN,oil,360000,,,,,,,360,,liquid_capacity,360000,bpd,capacity,site,1,27.15966,56.05833
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,328,refinery,Refinery,CRUDE OIL REFINERIES,,RIYADH,N/A,SAUDI ARABIA,oil,120000,,,,,,,120,,liquid_capacity,120000,bpd,capacity,site,1,24.51852,46.86798
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,327,refinery,Refinery,CRUDE OIL REFINERIES,,RAS TANURA,N/A,SAUDI ARABIA,oil,550000,,,,,,,550,,liquid_capacity,550000,bpd,capacity,site,1,26.70243,50.09207
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,326,refinery,Refinery,CRUDE OIL REFINERIES,,AL-JUBAIL,N/A,SAUDI ARABIA,oil,305000,,,,,,,305,,liquid_capacity,305000,bpd,capacity,site,1,27.03793,49.56826
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,324,refinery,Refinery,CRUDE OIL REFINERIES,,RABIGH,N/A,SAUDI ARABIA,oil,400000,,,,,,,400,,liquid_capacity,400000,bpd,capacity,site,1,22.71829,39.01571
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,323,refinery,Refinery,CRUDE OIL REFINERIES,,YANBU,N/A,SAUDI ARABIA,oil,400000,,,,,,,400,,liquid_capacity,400000,bpd,capacity,site,1,23.94383,38.31537
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,321,refinery,Refinery,CRUDE OIL REFINERIES,,UMM SAID,N/A,QATAR,oil,200000,,,,,,,200,,liquid_capacity,200000,bpd,capacity,site,1,24.9656,51.54472
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,311,refinery,Refinery,CRUDE OIL REFINERIES,,MINA AL FAHAL,N/A,OMAN,oil,106000,,,,,,,106,,liquid_capacity,106000,bpd,capacity,site,1,23.62534,58.51328
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,312,refinery,Refinery,CRUDE OIL REFINERIES,,SOHAR,N/A,OMAN,oil,,,,,,,,,,,,,,site,1,24.49211,56.62126
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,293,refinery,Refinery,CRUDE OIL REFINERIES,,BANDAR ABBAS,N/A,IRAN,oil,350000,,,,,,,350,,liquid_capacity,350000,bpd,capacity,site,1,27.17152,56.0781
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,297,refinery,Refinery,CRUDE OIL REFINERIES,,LAVAN,N/A,IRAN,oil,60000,,,,,,,60,,liquid_capacity,60000,bpd,capacity,site,1,26.79954,53.34996
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,298,refinery,Refinery,CRUDE OIL REFINERIES,,SHIRAZ,N/A,IRAN,oil,60000,,,,,,,60,,liquid_capacity,60000,bpd,capacity,site,1,29.73499,52.65466
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,294,refinery,Refinery,CRUDE OIL REFINERIES,,ISFAHAN,N/A,IRAN,oil,375000,,,,,,,375,,liquid_capacity,375000,bpd,capacity,site,1,32.78134,51.50631
