year,country,flow,product_group,commodity_key,total_trade_usd,total_weight_kg,total_weight_tonnes,total_quantity,rows,any_quantity_available,any_weight_available
2024,ALBANIA,import,refined_products,light_oils_refined,83732021.668,0,0,0,1,FALSE,FALSE
2024,ANTIGUA AND BARBUDA,import,crude_oil,crude_oil,1189.848,219.919,0.219919,219.919,1,TRUE,TRUE
2024,ANTIGUA AND BARBUDA,import,lng,lng,619191.636,1327706,1327.706,1327706,1,TRUE,TRUE
2024,ARGENTINA,export,crude_oil,crude_oil,4931109474.66,8686507120,8686507.12,8686507120,1,TRUE,TRUE
2024,ARGENTINA,export,refined_products,light_oils_refined,704624543.22,1081380830,1081380.83,1081380830,1,TRUE,TRUE
2024,ARGENTINA,import,lng,lng,675501161.77,1139647970,1139647.97,1139647970,1,TRUE,TRUE
2024,ARGENTINA,import,refined_products,light_oils_refined,230195136.69,260170625.813,260170.625813,260170625.813,1,TRUE,TRUE
2024,ARMENIA,export,refined_products,light_oils_refined,1812.29,471.74,0.47174,471.74,1,TRUE,TRUE
2024,ARMENIA,import,crude_oil,crude_oil,285128.68,421910,421.91,421910,1,TRUE,TRUE
2024,ARMENIA,import,refined_products,light_oils_refined,190694684.11,213493461.7,213493.46169999999,213493461.7,1,TRUE,TRUE
2024,AUSTRALIA,export,crude_oil,crude_oil,7064711970.251,0,0,13791172716,1,TRUE,FALSE
2024,AUSTRALIA,export,lng,lng,44521041774.551,81275600000,81275600,81275600000,1,TRUE,TRUE
2024,AUSTRALIA,export,refined_products,light_oils_refined,587872349.924,0,0,1224868693.26,1,TRUE,FALSE
2024,AUSTRALIA,import,crude_oil,crude_oil,5378538279.34,9201576099.46,9201576.099459998,9201576099.46,1,TRUE,TRUE
2024,AUSTRALIA,import,lng,lng,18515.222,0,0,0,1,FALSE,FALSE
2024,AUSTRALIA,import,refined_products,light_oils_refined,6984819909.432,11053076657.22,11053076.657219999,11053076657.22,1,TRUE,TRUE
2024,AUSTRIA,export,lng,lng,1684.184,1918,1.918,1918,1,TRUE,TRUE
2024,AUSTRIA,export,refined_products,light_oils_refined,616875822.21,0,0,0,1,FALSE,FALSE
2024,AUSTRIA,import,crude_oil,crude_oil,4824818484.738,7668799862,7668799.862,7668799862,1,TRUE,TRUE
2024,AUSTRIA,import,lng,lng,2212059.864,3063660,3063.66,3063660,1,TRUE,TRUE
2024,AUSTRIA,import,refined_products,light_oils_refined,695389471.075,803012512,803012.512,803012512,1,TRUE,TRUE
2024,AZERBAIJAN,export,crude_oil,crude_oil,14437355994.08,23596170696,23596170.696,23596170696,1,TRUE,TRUE
2024,AZERBAIJAN,export,refined_products,light_oils_refined,2609792.66,5670966.96,5670.96696,5670966.96,1,TRUE,TRUE
2024,AZERBAIJAN,import,crude_oil,crude_oil,1020192983.83,1868936100,1868936.1,1868936100,1,TRUE,TRUE
2024,AZERBAIJAN,import,refined_products,light_oils_refined,317954188.96,379874362.88,379874.36288,379874362.88,1,TRUE,TRUE
2024,BARBADOS,export,crude_oil,crude_oil,13633480,24238000,24238,24238000,1,TRUE,TRUE
2024,BARBADOS,export,refined_products,light_oils_refined,308897,110411,110.411,110411,1,TRUE,TRUE
2024,BARBADOS,import,lng,lng,11148062.5,18707265,18707.265,18707265,1,TRUE,TRUE
2024,BARBADOS,import,refined_products,light_oils_refined,82834246.5,95481236,95481.236,95481236,1,TRUE,TRUE
2024,BARBADOS,re-export,refined_products,light_oils_refined,308897,110411,110.411,110411,1,TRUE,TRUE
2024,BELGIUM,export,crude_oil,crude_oil,51327789.243,0,0,0,1,FALSE,FALSE
2024,BELGIUM,export,lng,lng,17477430.162,51381405.3,51381.4053,51381405.3,1,TRUE,TRUE
2024,BELGIUM,export,refined_products,light_oils_refined,12558461599.41,16907192879.522,16907192.879522,16907192879.522,1,TRUE,TRUE
2024,BELGIUM,import,crude_oil,crude_oil,23029348913.242,0,0,0,1,FALSE,FALSE
2024,BELGIUM,import,lng,lng,2855924850.928,5847511180,5847511.18,5847511180,1,TRUE,TRUE
2024,BELGIUM,import,refined_products,light_oils_refined,6576191026.433,0,0,0,1,FALSE,FALSE
2024,BELIZE,export,refined_products,light_oils_refined,13457.295,12981.3,12.9813,12981.3,1,TRUE,TRUE
2024,BELIZE,import,crude_oil,crude_oil,240011.89,887698,887.698,887698,1,TRUE,TRUE
2024,BELIZE,import,refined_products,light_oils_refined,73309915.483,194779076.93,194779.07693,194779076.93,1,TRUE,TRUE
2024,BELIZE,re-export,refined_products,light_oils_refined,13457.295,12981.3,12.9813,12981.3,1,TRUE,TRUE
2024,BOLIVIA (PLURINATIONAL STATE OF),export,crude_oil,crude_oil,1419208.15,3036654,3036.654,3036654,1,TRUE,TRUE
2024,BOLIVIA (PLURINATIONAL STATE OF),import,crude_oil,crude_oil,105973107,168709097.426,168709.097426,168709097.426,1,TRUE,TRUE
2024,BOLIVIA (PLURINATIONAL STATE OF),import,refined_products,light_oils_refined,951499590,0,0,1019579107.582,1,TRUE,FALSE
2024,BOSNIA HERZEGOVINA,export,crude_oil,crude_oil,4664390.305,7881026.8,7881.0268,7881026.8,1,TRUE,TRUE
2024,BOSNIA HERZEGOVINA,export,lng,lng,667087.396,578065.3,578.0653000000001,578065.3,1,TRUE,TRUE
2024,BOSNIA HERZEGOVINA,export,refined_products,light_oils_refined,15636.389,5308.9,5.3088999999999995,5308.9,1,TRUE,TRUE
2024,BOSNIA HERZEGOVINA,import,lng,lng,134026.764,143894.5,143.8945,143894.5,1,TRUE,TRUE
2024,BOSNIA HERZEGOVINA,import,refined_products,light_oils_refined,146983423.324,0,0,0,1,FALSE,FALSE
2024,BRAZIL,export,crude_oil,crude_oil,44842761197,89660869085.67,89660869.08567,89660869085.67,1,TRUE,TRUE
2024,BRAZIL,export,lng,lng,5139,262,0.262,262,1,TRUE,TRUE
2024,BRAZIL,export,refined_products,light_oils_refined,1222918739,1645387471.104,1645387.471104,1645387471.104,1,TRUE,TRUE
2024,BRAZIL,import,crude_oil,crude_oil,8943296861,0,0,0,1,FALSE,FALSE
2024,BRAZIL,import,lng,lng,2213190106,3258494850,3258494.85,3258494850,1,TRUE,TRUE
2024,BRAZIL,import,refined_products,light_oils_refined,5211472596,6683718779.09,6683718.77909,6683718779.09,1,TRUE,TRUE
2024,BULGARIA,export,refined_products,light_oils_refined,1408008090.248,1913455489,1913455.489,1913455489,1,TRUE,TRUE
2024,BULGARIA,import,crude_oil,crude_oil,4035630939.916,6630028418,6630028.418,6630028418,1,TRUE,TRUE
2024,BULGARIA,import,lng,lng,179762.422,223360,223.36,223360,1,TRUE,TRUE
2024,BULGARIA,import,refined_products,light_oils_refined,192493205.864,232321617.852,232321.617852,232321617.852,1,TRUE,TRUE
2024,BURKINA FASO,export,crude_oil,crude_oil,50.011,240,0.24,240,1,TRUE,TRUE
2024,BURKINA FASO,export,refined_products,light_oils_refined,115098.686,80308,80.308,80308,1,TRUE,TRUE
2024,BURKINA FASO,import,crude_oil,crude_oil,15634.04,24503,24.503,24503,1,TRUE,TRUE
2024,BURKINA FASO,import,lng,lng,163.499,100,0.1,100,1,TRUE,TRUE
2024,BURKINA FASO,import,refined_products,light_oils_refined,748593800.658,754074723,754074.723,754074723,1,TRUE,TRUE
2024,BURKINA FASO,re-export,refined_products,light_oils_refined,115098.686,80308,80.308,80308,1,TRUE,TRUE
2024,CANADA,export,crude_oil,crude_oil,107585282284.098,193857115569.385,193857115.56938502,193857115569.385,1,TRUE,TRUE
2024,CANADA,export,refined_products,light_oils_refined,4545369231.408,7596392378,7596392.378,7596392378,1,TRUE,TRUE
2024,CANADA,import,crude_oil,crude_oil,15171602177.525,24153177936.743,24153177.936743,24153177936.743,1,TRUE,TRUE
2024,CANADA,import,lng,lng,240249279.991,684796491.712,684796.491712,684796491.712,1,TRUE,TRUE
2024,CANADA,import,refined_products,light_oils_refined,9816716551.322,20579450085.8,20579450.0858,20579450085.8,1,TRUE,TRUE
