"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Antigua and Barbuda","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","1189.848","219.919","Weight in kilograms","219.919"
"Argentina","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","4931109474.66","8686507120","Weight in kilograms","8686507120"
"Armenia","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","285128.68","421910","Weight in kilograms","421910"
"Australia","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","7064711970.251","","Weight in kilograms","13791172716"
"Australia","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","5378538279.34","9201576099.46","Weight in kilograms","9201576099.46"
"Austria","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","4824818484.738","7668799862","Weight in kilograms","7668799862"
"Azerbaijan","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","1020192983.83","1868936100","Weight in kilograms","1868936100"
"Azerbaijan","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","14437355994.08","23596170696","Weight in kilograms","23596170696"
"Barbados","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","13633480","24238000","Weight in kilograms","24238000"
"Belgium","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","51327789.243","","No Quantity",""
"Belgium","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","23029348913.242","","No Quantity",""
"Belize","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","240011.89","887698","Weight in kilograms","887698"
"Bolivia (Plurinational State of)","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","105973107","168709097.426","Weight in kilograms","168709097.426"
"Bolivia (Plurinational State of)","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","1419208.15","3036654","Weight in kilograms","3036654"
"Bosnia Herzegovina","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","4664390.305","7881026.8","Weight in kilograms","7881026.8"
"Brazil","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","8943296861","","No Quantity",""
"Brazil","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","44842761197","89660869085.67","Weight in kilograms","89660869085.67"
"Bulgaria","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","4035630939.916","6630028418","Weight in kilograms","6630028418"
"Burkina Faso","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","50.011","240","Weight in kilograms","240"
"Burkina Faso","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","15634.04","24503","Weight in kilograms","24503"
"Canada","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Re-Export","43360559.235","78131067.412","Weight in kilograms","78131067.412"
"Canada","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","107585282284.098","193857115569.385","Weight in kilograms","193857115569.385"
"Canada","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","15171602177.525","24153177936.743","Weight in kilograms","24153177936.743"
"Chile","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","10113086.01","24610200","Weight in kilograms","24610200"
"Chile","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","5045101549.3","8900689064.79","Weight in kilograms","8900689064.79"
"China","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","1178947474","2089129800","Weight in kilograms","2089129800"
"China","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","325186599333","553231901236","Weight in kilograms","553231901236"
"Croatia","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","1719311482","","No Quantity",""
"Croatia","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","773594230","1267246500.1","Weight in kilograms","1267246500.1"
"Cyprus","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","2138.784","1046","Weight in kilograms","1046"
"Czech Rep.","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","12120","","No Quantity",""
